"code","source_page","view","schematic_x","schematic_y","primary_source_description","learning_note_he","learning_note_en","comparison_code","alternative_he","focused_check","alignment_33","source_conflict_33","review_status","reviewer","review_date","review_notes"
"ST 41","66","footTop","500","780","On the anterior aspect of the ankle, in the depression at the centre of the front surface of the ankle joint, between the tendons of extensor hallucis longus and extensor digitorum longus. Note: ST41 is located between two tendons on the dorsum of the foot which are more distinct when the ankle is in dorsiflexion, and is at the midpoint of the line connecting the prominences of the lateral malleolus and the medial malleolus.","ST 41 נמצאת בקדמת מפרק הקרסול בין גידי פושט הבוהן הארוך ופושט האצבעות הארוך. ST 42 קדמית יותר בכף הרגל ומשתמשת בחיבור עצמות. גיד ומפרק גרמי אינם עוגנים חלופיים זה לזה.","ST 41 uses the anterior ankle interval between extensor hallucis longus and extensor digitorum longus tendons. ST 42 uses a bony junction farther onto the foot. Tendons and bone joints are distinct references.","ST 42","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 42","67","footTop","462","610","On the dorsum of the foot, at the joint of the base of the second metatarsal bone and the intermediate cuneiform bone, over the dorsalis pedis artery.","העוגן של ST 42 הוא החיבור בין בסיס המסרק השני לעצם היתד האמצעית. LR 3 נמצאת במרווח שבין המסרקים הראשון והשני. בסיס עצם ומרווח בין עצמות אינם אותו מקום.","ST 42 uses the second-metatarsal-base/intermediate-cuneiform joint. LR 3 uses the first–second metatarsal interval. Distinguish a bone’s base joint from a space between adjacent bones.","LR 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 43","67","footTop","495","460","On the dorsum of the foot, between the second and third metatarsal bones, in the depression proximal to the second metatarsophalangeal joint.","LR 3 מתוארת בין עצמות המסרק הראשונה והשנייה. ST 43 בין השנייה לשלישית. ספירת העצמות מן הבוהן מבדילה בין שני המרווחים בגב כף הרגל.","LR 3 uses the first–second metatarsal interval; ST 43 the second–third interval. Counting bones from the great toe separates these dorsal-foot spaces.","LR 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 44","68","footTop","495","310","On the dorsum of the foot, between the second and third toes, posterior to the web margin, at the border between the red and white flesh.","ST 44 משתמשת ברווח שבין האצבעות השנייה והשלישית; LR 2 ברווח שבין הבוהן לאצבע השנייה. הספירה מתחילה בבוהן, גם כשהאיור מוצג מהצד.","ST 44 uses the second–third toe interval; LR 2 the great–second toe interval. Toe numbering starts with the great toe regardless of the viewing direction.","LR 2","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"ST 45","68","footTop","475","182","On the second toe, lateral to the distal phalanx, 0.1 f-cun proximal-lateral to the lateral corner of the second toenail, at the intersection of the vertical line of the lateral border and the horizontal line of the base of the second toenail.","ST 45 קשורה לפינה הצדדית של ציפורן האצבע השנייה בכף הרגל, 0.1 F-cun לכיוון שורש האצבע והצדה. GB 44 משתמשת באצבע הרביעית. סופרים אצבעות מן הבוהן לפני בחירת הפינה.","ST 45 uses the lateral second-toenail corner with a 0.1 F-cun proximal-lateral offset. GB 44 uses the fourth toe. Count digits from the great toe before selecting the nail corner.","GB 44","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 1","70","footTop","304","200","On the great toe, medial to the distal phalanx, 0.1 f-cun proximal-medial to the me- dial corner of the toenail, at the intersection of the vertical line of the medial border and horizontal line of the base of the toenail.","שתיהן בבוהן: SP 1 בצד המדיאלי ו־LR 1 בצד הלטרלי של הציפורן. זיהוי שתי פינות אותה ציפורן חשוב יותר מזכירת צד ימין או שמאל בתמונה.","Both use the great toe: SP 1 its medial nail side and LR 1 its lateral nail side. Distinguish the nail corners rather than memorizing picture left and right.","LR 1","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 2","70","footMedial","792","673","On the great toe, in the depression distal to the first metatarsophalangeal joint, at the border between the red and white flesh.","SP 2 דיסטלית למפרק המסרק־גליל הראשון, ו־SP 3 פרוקסימלית לו. שתיהן מתוארות במעבר שבין עור הגב לעור הסוליה בצד הפנימי של כף הרגל.","SP 2 is distal and SP 3 proximal to the first metatarsophalangeal joint. Both use the dorsal–plantar skin transition on the medial foot.","SP 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 3","71","footMedial","707","710","On the medial aspect of the foot, in the depression proximal to the first metatarsophalangeal joint, at the border between the red and white flesh.","SP 2 דיסטלית למפרק המסרק־גליל הראשון, ו־SP 3 פרוקסימלית לו. שתיהן מתוארות במעבר שבין עור הגב לעור הסוליה בצד הפנימי של כף הרגל.","SP 2 is distal and SP 3 proximal to the first metatarsophalangeal joint. Both use the dorsal–plantar skin transition on the medial foot.","SP 2","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 4","71","footMedial","570","685","On the medial aspect of the foot, antero- inferior to the base of the first metatarsal bone, at the border between the red and white flesh. Note: A depression can be felt when mov- ing proximally from SP3. SP4 is located in the depression distal to the base of the first metatarsal bone.","SP 4 קשורה לבסיס המסרק הראשון בצד הפנימי של כף הרגל; SP 3 קרובה יותר למפרק המסרק־גליל הראשון. חשוב להבחין בין בסיס המסרק, הפונה לקרסול, לבין ראשו, הפונה לבוהן.","SP 4 uses the first-metatarsal base on the medial foot; SP 3 is nearer the first metatarsophalangeal joint. Distinguish the ankle-facing base from the toe-facing head.","SP 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 5","72","footMedial","408","490","On the medial aspect of the foot, anteroinferior to the medial malleolus, in the depression midway between the tuberosity of the navicular bone and the prominence of the medial malleolus. Note 1: SP5 is located at the intersection of two imaginary lines: the vertical line of the anterior border of the medial malleolus and the horizontal line of the inferior border of the medial malleolus. Note 2: SP5 is located posterior to LR4 and anterior to KI6.","SP 5 נמצאת לפני ומתחת לפטישון הפנימי, בין הפטישון לגבשושית עצם הסירה. KI 6 מתוארת מתחת לפטישון. היחס הקדמי הוא ההבחנה החשובה בין שני התיאורים.","SP 5 is anterior and inferior to the medial malleolus, between it and the navicular tuberosity. KI 6 is inferior to the malleolus. The anterior relationship distinguishes the descriptions.","KI 6","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 6","72","legMedial","535","807","On the tibial aspect of the leg, posterior to the medial border of the tibia, 3 B-cun superior to the prominence of the medial malleolus. Note: 1 B-cun superior to KI8.","בשתיהן ציון הדרך הוא הגבול האחורי של השוקה. ההבדל הוא הגובה מעל הפטישון הפנימי: 3 B-cun ב־SP 6 ו־6 B-cun ב־SP 7.","Both refer to the posterior tibial border. Their heights above the medial malleolus differ: 3 B-cun for SP 6 and 6 B-cun for SP 7.","SP 7","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 7","73","legMedial","537","713","On the tibial aspect of the leg, posterior to the medial border of the tibia, 6 B-cun superior to the prominence of the medial malleolus. Note: 3 B-cun superior to SP6.","בשתיהן ציון הדרך הוא הגבול האחורי של השוקה. ההבדל הוא הגובה מעל הפטישון הפנימי: 3 B-cun ב־SP 6 ו־6 B-cun ב־SP 7.","Both refer to the posterior tibial border. Their heights above the medial malleolus differ: 3 B-cun for SP 6 and 6 B-cun for SP 7.","SP 6","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 8","73","legMedial","538","578","On the tibial aspect of the leg, posterior to the medial border of the tibia, 3 B-cun inferior to SP9. Note: SP8 is located at the junction of the upper one third and lower two thirds of the line connecting the apex of the patella with the prominence of the medial malleolus.","SP 9 היא נקודת הייחוס למרחק של SP 8: שלושה B-cun כלפי מטה, מאחורי הגבול הפנימי של השוקה. אין למדוד כאן את שלוש היחידות מהפטישון שבקרסול.","SP 8 is measured 3 B-cun inferiorly from SP 9, posterior to the medial tibial border. The ankle malleolus is not the starting landmark for this three-unit measure.","SP 9","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 9","74","legMedial","540","485","On the tibial aspect of the leg, in the depression between the inferior border of the medial condyle of the tibia and the medial border of the tibia. Note: A depression can be felt inferior to the knee joint when moving proximally along the medial border of the tibia. SP9 is located in a depression at the angle formed by the inferior border of the medial condyle of the tibia and the posterior border of the tibia.","SP 9 משתמשת בגבול התחתון של הקונדיל הפנימי של השוקה. LR 8 מתייחסת לקצה הפנימי של קפל הברך ולגידים. עצם וקפל אינם אותו ציון דרך.","SP 9 uses the inferior border of the medial tibial condyle. LR 8 uses the medial knee-crease end and tendons. A bony margin and a crease are different references.","LR 8","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 10","74","legMedial","560","400","On the anteromedial aspect of the thigh, on the bulge of the vastus medialis muscle, 2 B-cun superior to the medial end of the base of the patella.","שתי הרשומות משתמשות בגובה של 2 B-cun מעל בסיס הפיקה. SP 10 קשורה לבליטת השריר הרחב הפנימי, ו־ST 34 לצד החיצוני של הירך. הגובה המשותף אינו מבטל את הבדל הצדדים.","Both records use a level 2 B-cun above the patellar base. SP 10 uses the vastus-medialis bulge; ST 34 uses the lateral thigh. Their shared level does not erase the side difference.","ST 34","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 11","75","legMedial","525","275","On the medial aspect of the thigh, at the junction of the upper one third and lower two thirds of the line connecting the medial end of the base of the patella with SP12, between the sartorius muscle and the adductor longus muscle, over the femoral artery.","SP 11 מחלקת את הקו בין הקצה הפנימי של בסיס הפיקה ל־SP 12 לשליש עליון ושני שלישים תחתונים. היא בין החייטים למקרב הארוך; אין להחליף את חלוקת הקו באמצעו.","SP 11 divides the medial-patellar-base–SP 12 line into an upper third and lower two thirds. It lies between sartorius and adductor longus; this is not the line’s midpoint.","SP 12","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 12","75","torsoFront","360","900","In the groin region, at the inguinal crease, lateral to the femoral artery. Note: At the same level as CV2, medial and inferior to SP13.","קפל המפשעה הוא העוגן של SP 12, בצד החיצוני של עורק הירך. SP 13 מתוארת באמצעות מרחקים מהטבור ומקו האמצע. קפל שטחי ושורת מדידה בבטן אינם אותו ציון דרך.","SP 12 uses the inguinal crease lateral to the femoral artery. SP 13 uses distances from the umbilicus and midline. A surface crease and an abdominal measurement row are different references.","SP 13","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 13","76","torsoFront","372","870.5","On the lower abdomen, 4.3 B-cun inferior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line.","SP 13 נמצאת 4.3 B-cun מתחת לטבור ו־4 B-cun לצד קו האמצע; SP 14 נמצאת רק 1.3 B-cun מתחת לטבור. החלק העשרוני נשמר במקור ואינו עיגול ל־4 או ל־1.","SP 13 is 4.3 B-cun below the umbilicus and 4 B-cun lateral; SP 14 is only 1.3 B-cun below. Preserve the decimal values rather than rounding them to four or one.","SP 14","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 14","76","torsoFront","372","765.5","On the lower abdomen, 1.3 B-cun inferior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line.","SP 14 נמצאת 1.3 B-cun מתחת לטבור ו־4 B-cun הצדה. ST 26 נמצאת 1 B-cun מתחת ו־2 B-cun הצדה. כאן משתנים גם הגובה וגם ההיסט, ולכן אין לתאר אותן כאותה שורה.","SP 14 is 1.3 B-cun below the umbilicus and 4 B-cun lateral. ST 26 is 1 B-cun below and 2 B-cun lateral. Both level and offset differ; they are not the same row.","ST 26","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 15","77","torsoFront","372","720","On the upper abdomen, 4 B-cun lateral to the centre of the umbilicus. Note: At the same level and lateral to ST25, KI16 and CV8.","SP 15 נמצאת בגובה מרכז הטבור, 4 B-cun הצדה; ST 25 באותו גובה, במרחק 2 B-cun. אין מידה אנכית נוספת בתיאור הראשי של SP 15.","SP 15 is level with the umbilical centre, 4 B-cun lateral; ST 25 is 2 B-cun lateral at the same level. SP 15’s primary description adds no superior or inferior displacement.","ST 25","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 16","77","torsoFront","372","615","On the upper abdomen, 3 B-cun superior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line. Note: 3 B-cun superior to SP15, at the same level as CV11.","גובה SP 16 הוא 3 B-cun מעל הטבור, כמו ST 22. ההיסט הצדדי שלה הוא 4 B-cun לעומת 2 B-cun ב־ST 22. אלה שתי עמודות באותה שורת ייחוס.","SP 16 is 3 B-cun above the umbilicus, like ST 22. Its lateral offset is 4 rather than 2 B-cun. They occupy different columns at the same reference level.","ST 22","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 17","78","torsoFront","308","380","In the anterior thoracic region, in the fifth intercostal space, 6 B-cun lateral to the anterior median line. Note: SP17, ST18 and KI22 are located along the curve of the fifth intercostal space.","המרווח הבין־צלעי החמישי מגדיר את הגובה. SP 17 רחוקה 6 B-cun מקו האמצע, ו־ST 18 רחוקה 4 B-cun. עוקבים אחר המרווח המעוקל ולא אחר קו ישר מהמסך.","The fifth intercostal space sets the level. SP 17 lies 6 B-cun from the midline and ST 18 lies 4 B-cun away. Follow the curved space rather than a straight screen line.","ST 18","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 18","78","torsoFront","308","330","In the anterior thoracic region, in the fourth intercostal space, 6 B-cun lateral to the anterior median line. Note: SP18, ST17 and KI23 are located along the curve of the fourth intercostal space.","SP 18 ו־KI 23 משתמשות במרווח הבין־צלעי הרביעי. SP 18 בהיסט של 6 B-cun ו־KI 23 בהיסט של 2 B-cun. זיהוי המרווח קודם להשוואת העמודות.","SP 18 and KI 23 use the fourth intercostal space. Their offsets are 6 and 2 B-cun. Identify the space before comparing the lateral columns.","KI 23","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 19","79","torsoFront","308","280","In the anterior thoracic region, in the third intercostal space, 6 B-cun lateral to the anterior median line. Note: SP19, ST6 and KI24 are located along the curve of the third intercostal space.","SP 19 נמצאת במרווח הבין־צלעי השלישי, 6 B-cun מקו האמצע; ST 16 באותו מרווח, 4 B-cun ממנו. מספר המרווח והמרחק מקו האמצע מגדירים יחד את ההבדל.","SP 19 uses the third intercostal space at 6 B-cun from the midline; ST 16 uses 4 B-cun in that space. Read the intercostal level and midline offset together.","ST 16","","supplied dataset","","בהערת המקור מופיע ST 6, בעוד התיאור עוסק בבית החזה. השוואת הלימוד משתמשת ב־ST 16 על סמך תיאורי המיקום הראשיים של שתי הרשומות. זוהי הכרעה עריכתית שממתינה לבדיקת איש מקצוע; אין כאן תיקון מאושר של ספר המקור.","ממתין לסקירה מקצועית","","",""
"SP 20","79","torsoFront","308","230","In the anterior thoracic region, in the sec- ond intercostal space, 6 B-cun lateral to the anterior median line. Note: SP20, ST15 and KI25 are located along the curve of the second intercostal space.","שתי הנקודות מתייחסות למרווח הבין־צלעי השני. SP 20 נמצאת רחוק יותר מקו האמצע: 6 B-cun לעומת 4 B-cun ב־ST 15. אין לספור את העצם עצמה בתור המרווח.","Both points use the second intercostal space. SP 20 is farther from the midline, 6 versus 4 B-cun for ST 15. Do not count the rib itself as the space.","ST 15","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SP 21","80","torsoSide","480","430","In the lateral thoracic region, in the sixth intercostal space, on the midaxillary line. Note: With the subject lying on the side and the arm abducted, SP21 is located at the intersection of the midaxillary line and the sixth intercostal space.","SP 21 נמצאת במרווח הבין־צלעי השישי על הקו האמצעי של בית השחי. GB 22 משתמשת במרווח הרביעי באותו אזור צדדי. אותו קו אנכי יכול לכלול גבהים שונים.","SP 21 uses the sixth intercostal space on the midaxillary line. GB 22 uses the fourth space in the same lateral region. One vertical reference can contain different levels.","GB 22","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"HT 1","82","armFront","635","165","In the axilla, in the centre of the axillary fossa, over the axillary artery.","מרכז גומת בית השחי הוא העוגן של HT 1. HT 2 נמצאת לאורך הצד הפנימי של הזרוע ומתוארת ביחס לשריר הדו־ראשי ולמרפק. אזכור העורק בבית השחי אינו הוראת מגע.","HT 1 uses the centre of the axillary fossa. HT 2 lies along the medial arm with biceps and elbow references. Mention of the axillary artery does not provide a touching instruction.","HT 2","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"HT 2","82","armFront","585","355","On the medial aspect of the arm, just medial to the biceps brachii muscle, 3 B-cun superior to the cubital crease. Note: With the elbow flexed and the arm abducted, Ht2 is located at the junction of the upper two thirds and lower one third of the line connecting Ht1 with Ht3.","HT 2 נמצאת מדיאלית לשריר הדו־ראשי, 3 B-cun מעל קפל המרפק. ב־LU 3 המידה מתייחסת לקפל בית השחי. מספר זהה אינו בר־השוואה בלי אותו מוצא מדידה.","HT 2 is medial to biceps, 3 B-cun above the elbow crease. LU 3 measures from the axillary fold. Equal numbers are not directly comparable when their starting landmarks differ.","LU 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"HT 3","83","armFront","580","450","On the anteromedial aspect of the elbow, just anterior to the medial epicondyle of the humerus, at the same level as the cubital crease. Note: With the elbow is flexed, HT3 is located at the midpoint of the line connecting the medial end of the cubital crease and the medial epicondyle of the humerus.","HT 3 נמצאת לפני העילית העלי הפנימית בגובה קפל המרפק. SI 8 נמצאת מאחור, בין העילית לזיז המרפק. העילית משותפת, אך פני המפרק משתנים.","HT 3 is anterior to the medial epicondyle at elbow-crease level. SI 8 is posterior, between that epicondyle and the olecranon. The landmark is shared but the joint surface differs.","SI 8","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"HT 4","83","armFront","578","826","On the anteromedial aspect of the forearm, just radial to the flexor carpi ulnaris tendon, 1.5 B-cun proximal to the palmar wrist crease. Note 1: 1.5 B-cun proximal to HT7, at the same level as the superior border of the head of the ulna. Note 2: 1.5 B-cun proximal to the radial side of the superior border of the pisiform bone.","שתיהן סמוכות לגיד מכופף שורש כף היד האולנרי. HT 4 נמצאת 1.5 B-cun מעל הקפל הכפי ו־HT 5 נמצאת 1 B-cun מעליו.","Both lie by the flexor carpi ulnaris tendon. HT 4 is 1.5 B-cun proximal to the palmar wrist crease; HT 5 is 1 B-cun proximal.","HT 5","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"HT 5","84","armFront","578","844","On the anteromedial aspect of the forearm, radial to the flexor carpi ulnaris tendon, 1 B-cun proximal to the palmar wrist crease. Note 1: 1 B-cun proximal to HT7. HT 4 is located at the level with the root of the head of the ulna, HT 5, the body of the head of the ulna and Ht 6, the base of the head of the ulna. Note 2: 1 B-cun proximal to the radial side of the proximal border of the pisiform bone.","שתיהן סמוכות לגיד מכופף שורש כף היד האולנרי. HT 4 נמצאת 1.5 B-cun מעל הקפל הכפי ו־HT 5 נמצאת 1 B-cun מעליו.","Both lie by the flexor carpi ulnaris tendon. HT 4 is 1.5 B-cun proximal to the palmar wrist crease; HT 5 is 1 B-cun proximal.","HT 4","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"HT 6","84","armFront","578","862","On the anteromedial aspect of the forearm, radial to the flexor carpi ulnaris tendon, 0.5 B-cun proximal to the palmar wrist crease. Note 1: 0.5 B-cun proximal to HT7, at the same level as the distal border of the head of the ulna. Note 2: 0.5 B-cun proximal to the radial side of the proximal border of the pisiform bone.","HT 7 מתוארת בגובה קפל שורש כף היד; HT 6 נמצאת חצי B-cun פרוקסימלית לו. הגיד האולנרי נשאר ציון דרך משותף.","HT 7 is at the wrist crease; HT 6 is half a B-cun proximal to it. The ulnar flexor tendon remains a shared reference.","HT 7","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"HT 7","85","armFront","578","880","On the anteromedial aspect of the wrist, radial to the flexor carpi ulnaris tendon, on the palmar wrist crease. Note: In the depression radial to the proximal border of the pisiform bone, on the palmar wrist crease.","HT 7 מתוארת בגובה קפל שורש כף היד; HT 6 נמצאת חצי B-cun פרוקסימלית לו. הגיד האולנרי נשאר ציון דרך משותף.","HT 7 is at the wrist crease; HT 6 is half a B-cun proximal to it. The ulnar flexor tendon remains a shared reference.","HT 6","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"HT 8","85","handPalm","620","520","On the palm of the hand, in the depression between the fourth and fifth metacarpal bones, proximal to the fifth metacarpophalangeal joint. Note: Between the fourth and fifth metacarpal bones, where the tip of the little finger rests when a fist is made, at the same level as PC8.","HT 8 משתמשת במרווח שבין עצמות המסרק הרביעית והחמישית. המיקום הראשי של PC 8 הוא בין השנייה לשלישית; החלופה שלו בין השלישית לרביעית.","HT 8 uses the fourth–fifth metacarpal interval. Primary PC 8 uses the second–third interval; its alternative uses the third–fourth interval.","PC 8","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"HT 9","86","handBack","650","360","On the little finger, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the little fingernail, at the intersection of the vertical line of the radial border of the nail and horizontal line of the base of the little fingernail.","שתיהן סמוכות לציפורן הזרת: SI 1 בצד האולנרי ו־HT 9 בצד הרדיאלי. יש לזהות את צד האגודל וצד הזרת לפני פירוש פינת הציפורן.","Both are near the little fingernail: SI 1 on its ulnar side and HT 9 on its radial side. Establish thumb-side and little-finger-side orientation first.","SI 1","","supplied dataset","הועברה למבט גבי עם ציפורן זרת; סמוך לפינה הרדיאלית של הבסיס.","","ממתין לסקירה מקצועית","","",""
"SI 1","88","handBack","710","360","On the little finger, ulnar to the distal phalanx, 0.1 f-cun proximal-medial to the ulnar corner of the little fingernail, at the intersection of the vertical line of ulnar border of the nail and horizontal line of the base of the little fingernail.","שתיהן סמוכות לציפורן הזרת: SI 1 בצד האולנרי ו־HT 9 בצד הרדיאלי. יש לזהות את צד האגודל וצד הזרת לפני פירוש פינת הציפורן.","Both are near the little fingernail: SI 1 on its ulnar side and HT 9 on its radial side. Establish thumb-side and little-finger-side orientation first.","HT 9","","supplied dataset","הסימון הוזז אל אזור הפינה האולנרית של בסיס ציפורן הזרת.","","ממתין לסקירה מקצועית","","",""
"SI 2","88","handBack","725","434","On the ulnar side of the little finger, distal to the fifth metacarpophalangeal joint, at the border between the palmar and dorsal skin.","המפרק החמישי מפריד בין התיאורים: SI 2 דיסטלית לו, בצד הזרת; SI 3 פרוקסימלית לו, בצד כף היד. זה התיקון המרכזי ביחס לתיאורים המשוכפלים שהיו במאגר.","The fifth metacarpophalangeal joint separates the descriptions: SI 2 is distal, on the finger side; SI 3 proximal, on the hand side. This resolves the duplicated source descriptions.","SI 3","","focused WHO excerpt correction","","","ממתין לסקירה מקצועית","","",""
"SI 3","89","handBack","730","495","On the ulnar side of the hand, proximal to the fifth metacarpophalangeal joint, at the border between the palmar and dorsal skin.","המפרק החמישי מפריד בין התיאורים: SI 2 דיסטלית לו, בצד הזרת; SI 3 פרוקסימלית לו, בצד כף היד. זה התיקון המרכזי ביחס לתיאורים המשוכפלים שהיו במאגר.","The fifth metacarpophalangeal joint separates the descriptions: SI 2 is distal, on the finger side; SI 3 proximal, on the hand side. This resolves the duplicated source descriptions.","SI 2","","focused WHO excerpt correction","","","ממתין לסקירה מקצועית","","",""
"SI 4","89","handBack","648","810","On the posteromedial aspect of the wrist, in the depression between the base of the fifth metacarpal bone and the triquetrum bone, at the border between the red and white flesh. Note: With one finger placed on SI3, push and slide proximally along the fifth metacarpal bone to the bony projection, SI4 is located in the depression between these two bones.","SI 4 משתמשת באזור שבין בסיס עצם המסרק החמישית לעצם המשולשת. SI 5 משתמשת באזור שבין זיז הגומד לעצם המשולשת, סמוך יותר לשורש כף היד.","SI 4 uses the interval between the fifth metacarpal base and triquetrum. SI 5 uses the ulnar-styloid–triquetrum region, closer to the wrist.","SI 5","","supplied dataset","הסימון הותאם למרווח שבין בסיס המסרק החמישי לעצם המשולשת בשכבת העצמות החדשה.","","ממתין לסקירה מקצועית","","",""
"SI 5","90","handBack","640","850","On the posteromedial aspect of the wrist, in the depression between the triquetrum bone and the ulnar styloid process.","SI 4 משתמשת באזור שבין בסיס עצם המסרק החמישית לעצם המשולשת. SI 5 משתמשת באזור שבין זיז הגומד לעצם המשולשת, סמוך יותר לשורש כף היד.","SI 4 uses the interval between the fifth metacarpal base and triquetrum. SI 5 uses the ulnar-styloid–triquetrum region, closer to the wrist.","SI 4","","supplied dataset","הסימון הותאם למרווח שבין זיז הגומד לעצם המשולשת בשכבת העצמות החדשה.","","ממתין לסקירה מקצועית","","",""
"SI 6","90","armBack","625","844","On the posteromedial aspect of the forearm, in the depression radial to the head of the ulnar bone, 1 B-cun proximal to the dorsal wrist crease. Note: With the palm facing downwards, press the highest point of the head of ulnar bone with a finger, and then turn the palm towards the chest; SI6 is located at the cleft between the bones where the finger slides.","ראש הגומד הוא עוגן SI 6, בשקע בצדו הרדיאלי ו־1 B-cun מעל הקפל הגבי. SI 5 משתמשת בזיז הגומד ובאזור המפרק. ראש העצם והזיז שלה אינם שמות נרדפים.","SI 6 uses the radial side of the ulnar head, 1 B-cun proximal to the dorsal crease. SI 5 uses the ulnar styloid and wrist joint region. The head and styloid are distinct landmarks.","SI 5","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SI 7","91","armBack","620","701","On the posteromedial aspect of the forearm, between the medial border of the ulnar bone and the flexor carpi ulnaris muscle, 5 B-cun proximal to the dorsal wrist crease. Note: 1 B-cun distal to the midpoint of the line connecting SI5 with SI8.","SI 7 נמצאת בין הגבול הפנימי של הגומד למכופף האולנרי, 5 B-cun מעל הקפל הגבי. TE 9 מודדת 5 B-cun מזיז המרפק לכיוון היד. אותו מספר מתחיל מקצה אחר.","SI 7 lies between the medial ulna and flexor carpi ulnaris, 5 B-cun above the dorsal crease. TE 9 measures 5 B-cun distally from the olecranon. The same number starts at the opposite end.","TE 9","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SI 8","91","armBack","640","450","On the posteromedial aspect of the elbow, in the depression between the olecranon and the medial epicondyle of the humerus bone. Note: When the elbow is slightly flexed, SI 8 is located in the groove for the ulnar nerve.","זיז המרפק והעילית העלי הפנימית תוחמים את השקע של SI 8 מאחור. HT 3 נמצאת לפני העילית. יש להבחין בין השקע האחורי לבין קפל המרפק הקדמי.","Olecranon and medial epicondyle bound SI 8’s posterior depression. HT 3 lies anterior to the epicondyle. Distinguish the posterior groove from the anterior elbow crease.","HT 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SI 9","92","armBack","590","135","On the shoulder girdle, posteroinferior to the shoulder joint, 1 B-cun superior to the posterior axillary fold. Note: When the arm is adducted, SI 9 is located 1 B-cun superior to the posterior axillary fold, posterior to the deltoid muscle.","SI 9 מתוארת 1 B-cun מעל קפל בית השחי האחורי ומאחורי הכתף. SI 10 משתמשת בשקע שמתחת לקוץ השכמה. הקפל והקוץ אינם שתי דרכים לציין אותו גובה.","SI 9 is 1 B-cun above the posterior axillary fold behind the shoulder. SI 10 uses the depression below the scapular spine. Fold and spine are not interchangeable level references.","SI 10","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SI 10","92","back","740","250","On the shoulder girdle, superior to the posterior axillary fold, in the depression inferior to the spine of the scapula.","קוץ השכמה מפריד בין אזורי ההשוואה: SI 10 בשקע שמתחתיו מעל קפל בית השחי האחורי, ו־SI 12 בגומה שמעליו. כיוון מעל/מתחת נקרא ביחס לעצם.","The scapular spine separates the compared regions: SI 10 is below it above the posterior axillary fold; SI 12 is in the fossa above it. Read above and below relative to the bone.","SI 12","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"SI 11","93","back","690","340","In the scapular region, in the depression between the upper one third and lower two thirds of the line connecting the midpoint of the spine of the scapula with the inferior angle of the scapula.","SI 11 קשורה לגומה שמתחת לקוץ השכמה; SI 12 לגומה שמעליו. קוץ השכמה הוא קו ההפרדה שמסביר את מיקומן על אותה עצם.","SI 11 uses the infraspinous fossa; SI 12 the supraspinous fossa. The scapular spine separates these regions of the same bone.","SI 12","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
